0  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=3 nb_WinessCache=38, nb_claimsMax=3, nb_claims=6 Nb_Messages=102
1  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=41, nb_claimsMax=2, nb_claims=4 Nb_Messages=132
2  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=3 nb_WinessCache=36, nb_claimsMax=3, nb_claims=6 Nb_Messages=104
3  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=13 nb_WinessCache=37, nb_claimsMax=13, nb_claims=13 Nb_Messages=103
4  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=40, nb_claimsMax=6, nb_claims=6 Nb_Messages=112
5  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=8 nb_WinessCache=38, nb_claimsMax=8, nb_claims=10 Nb_Messages=112
6  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=43, nb_claimsMax=2, nb_claims=5 Nb_Messages=118
7  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=44, nb_claimsMax=1, nb_claims=1 Nb_Messages=113
8  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=7 Nb_Messages=111
9  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=11 nb_WinessCache=36, nb_claimsMax=11, nb_claims=13 Nb_Messages=109
10  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=5 nb_WinessCache=40, nb_claimsMax=5, nb_claims=5 Nb_Messages=107
11  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=13 nb_WinessCache=41, nb_claimsMax=13, nb_claims=15 Nb_Messages=119
12  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=5 nb_WinessCache=33, nb_claimsMax=5, nb_claims=5 Nb_Messages=99
13  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=34, nb_claimsMax=6, nb_claims=9 Nb_Messages=117
14  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=7 nb_WinessCache=36, nb_claimsMax=7, nb_claims=10 Nb_Messages=114
15  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=43, nb_claimsMax=1, nb_claims=3 Nb_Messages=119
16  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=36, nb_claimsMax=1, nb_claims=7 Nb_Messages=105
17  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=35, nb_claimsMax=2, nb_claims=6 Nb_Messages=102
18  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=40, nb_claimsMax=2, nb_claims=3 Nb_Messages=133
19  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=6 Nb_Messages=102
20  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=42, nb_claimsMax=6, nb_claims=6 Nb_Messages=112
21  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=6 Nb_Messages=98
22  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=14 nb_WinessCache=38, nb_claimsMax=14, nb_claims=16 Nb_Messages=124
23  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=39, nb_claimsMax=2, nb_claims=3 Nb_Messages=114
24  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=40, nb_claimsMax=2, nb_claims=3 Nb_Messages=115
25  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=7 Nb_Messages=103
26  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=43, nb_claimsMax=6, nb_claims=6 Nb_Messages=116
27  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=38, nb_claimsMax=2, nb_claims=3 Nb_Messages=117
28  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=5 nb_WinessCache=36, nb_claimsMax=5, nb_claims=10 Nb_Messages=112
29  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=8 Nb_Messages=102
30  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=8 nb_WinessCache=43, nb_claimsMax=8, nb_claims=11 Nb_Messages=111
31  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=37, nb_claimsMax=2, nb_claims=3 Nb_Messages=108
32  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=6 Nb_Messages=100
33  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=6 Nb_Messages=120
