0  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=39
1  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=35
2  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=1 Nb_Messages=30
3  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=3 Nb_Messages=62
4  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=63
5  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=0 nb_WinessCache=5, nb_claimsMax=0, nb_claims=0 Nb_Messages=5
6  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=33
7  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=2 Nb_Messages=73
8  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=32
9  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=28
10  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=48
11  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=1 Nb_Messages=44
12  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=37
13  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=9, nb_claimsMax=1, nb_claims=2 Nb_Messages=71
14  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=2 Nb_Messages=69
15  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=2 Nb_Messages=32
16  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=53
17  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=53
18  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=19
19  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=43
20  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=65
21  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=0 nb_WinessCache=5, nb_claimsMax=0, nb_claims=0 Nb_Messages=5
22  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=2 Nb_Messages=47
23  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=2 Nb_Messages=65
24  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=16
25  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=0 nb_WinessCache=5, nb_claimsMax=0, nb_claims=0 Nb_Messages=5
26  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=23
27  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=37
28  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=39
29  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=14
30  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=60
31  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=33
32  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=1 Nb_Messages=81
33  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=45
34  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=2 Nb_Messages=66
35  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=51
36  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=9, nb_claimsMax=1, nb_claims=2 Nb_Messages=65
37  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=8, nb_claimsMax=2, nb_claims=2 Nb_Messages=60
38  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=6, nb_claimsMax=1, nb_claims=1 Nb_Messages=41
39  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=68
40  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=1 Nb_Messages=35
41  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=2 Nb_Messages=81
42  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=73
43  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=1 Nb_Messages=49
44  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=2 Nb_Messages=25
45  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=8, nb_claimsMax=2, nb_claims=2 Nb_Messages=58
46  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=6, nb_claimsMax=2, nb_claims=2 Nb_Messages=120
47  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=1 Nb_Messages=49
48  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=3 Nb_Messages=65
49  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=7, nb_claimsMax=2, nb_claims=2 Nb_Messages=49
50  detected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=7, nb_claimsMax=1, nb_claims=2 Nb_Messages=51
51  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=8, nb_claimsMax=2, nb_claims=2 Nb_Messages=83
52  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=8, nb_claimsMax=1, nb_claims=1 Nb_Messages=32
53  notDtected idA=8 idCloneA=0  posA=(50, 850)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=8, nb_claimsMax=2, nb_claims=2 Nb_Messages=79
